Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",87.020000,-117.192500,90.000000,top
"D1","3V6","D_SOD-123",74.172500,-110.630000,0.000000,top
"D2","3V6","D_SOD-123",74.180000,-117.200000,0.000000,top
"D3","LED","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",92.882500,-115.910000,0.000000,top
"J1","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",82.470000,-110.130000,0.000000,top
"J2","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",98.760000,-117.820000,180.000000,top
"R1","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",78.560000,-116.590000,-90.000000,top
"R2","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",78.560000,-110.640000,-90.000000,top
"R3","330R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",93.370000,-118.740000,0.000000,top
"R4","1k5","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",73.530000,-113.870000,180.000000,top
"U1","ATtiny85-20S","SOIC-8W_5.3x5.3mm_P1.27mm",90.590000,-111.275000,0.000000,top
"U2","~","PCB_USB_connector",56.650000,-113.975000,0.000000,top
